,Median household income,County,Year
4963,42963,Caldwell County,1/1/2014
5194,46223,Lubbock County,1/1/2015
5192,45669,Llano County,1/1/2015
5295,36030,San Saba County,1/1/2015
5257,43766,Pecos County,1/1/2015
5084,46501,Gregg County,1/1/2015
5160,42456,Kerr County,1/1/2015
5262,32861,Presidio County,1/1/2014
5315,37076,Swisher County,1/1/2014
4947,40574,Bowie County,1/1/2014
5016,42378,Dallam County,1/1/2015
5164,41271,Kinney County,1/1/2015
5009,55599,Crane County,1/1/2014
5325,43393,Tom Green County,1/1/2014
5337,32920,Uvalde County,1/1/2014
5069,59588,Galveston County,1/1/2014
4980,74915,Chambers County,1/1/2015
5210,38408,McCulloch County,1/1/2015
5183,48441,Liberty County,1/1/2014
5327,57293,Travis County,1/1/2014
5028,75099,Denton County,1/1/2015
5001,36522,Comanche County,1/1/2014
4988,37242,Cochran County,1/1/2015
4954,39106,Brewster County,1/1/2015
4978,40689,Castro County,1/1/2015
5208,32073,Maverick County,1/1/2015
5188,56484,Lipscomb County,1/1/2015
5145,34546,Jim Hogg County,1/1/2014
4983,34731,Childress County,1/1/2014
4926,46631,Atascosa County,1/1/2015
4919,41804,Angelina County,1/1/2015
5104,43777,Harrison County,1/1/2015
4992,33014,Coleman County,1/1/2015
5264,41349,Rains County,1/1/2014
5000,70322,Comal County,1/1/2015
5012,50243,Crockett County,1/1/2015
5025,37515,Delta County,1/1/2014
5010,58901,Crane County,1/1/2015
4961,49685,Burnet County,1/1/2014
5101,51298,Harris County,1/1/2014
5062,41497,Franklin County,1/1/2015
5187,51003,Lipscomb County,1/1/2014
4942,49655,Bexar County,1/1/2015
5023,39481,Deaf Smith County,1/1/2014
5377,43248,Young County,1/1/2014
5052,46907,Fayette County,1/1/2014
5103,44958,Harrison County,1/1/2014
5047,40346,Erath County,1/1/2015
5281,92466,Rockwall County,1/1/2015
5155,55044,Kaufman County,1/1/2014
